Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C]
724,410943,63,17.91,14719,24.01
725,411037,56,16.76,14751,24.12
726,411331,61,17.6,14756,24.23
727,411578,639,249.88,14761,24.01
728,412586,69,18.79,14797,24.12
729,412950,127,24.18,14802,24.23
730,413498,435,104.92,14834,24.01
731,414386,371,73.82,14867,23.91
732,414997,71,19.06,14872,24.23
733,416181,121,23.66,14932,24.23
734,416545,434,104.89,14937,24.34
735,416961,280,48.67,14942,24.12
736,417302,655,252.34,14974,23.8
737,417553,159,27.66,14979,24.12
738,418376,76,19.69,15011,24.01
739,418443,450,114.31,15016,24.01
740,418587,89,21.05,15021,24.01
741,418790,415,95,15025,24.34
742,420141,224,38.29,15088,24.12
743,420627,192,32.67,15093,24.23
744,420832,79,20.03,15098,24.34
745,421354,319,57.64,15130,24.23
746,421663,449,112.05,15135,24.23
747,423583,94,21.5,15198,24.23
748,423714,172,29.49,15202,24.34
749,423929,551,164.56,15207,23.91
750,424222,56,16.76,15243,24.34
751,425037,376,76.43,15275,24.34
752,425085,103,22.23,15280,24.23
753,426356,204,34.73,15312,24.23
754,426640,67,18.51,15317,24.23
755,426984,121,23.66,15322,23.91
756,427101,225,38.48,15354,24.23
757,427594,423,97.36,15359,24.23
758,427867,199,33.86,15363,24.12
759,428117,127,24.18,15395,24.34
760,428596,339,62.98,15400,23.91
761,428663,344,64.67,15405,24.12
762,430663,49,15.48,15466,24.34
